Question,Answer
"What disease causes Runny nose, Rash, Red eyes, Loss of appetite, Rashes, Feverish?",Roseola
"What disease causes High fever, Runny nose, Irritability, Headache, Cough, Rashes, Chills?",Roseola
"What disease causes Stomach cramps, Nausea, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Chills, Sweating, Rashes, General discomfort, Fever?",Norovirus Infection
"What disease causes High fever, Runny nose, Irritability, Fatigue, Red eyes, Diarrhea, Vomiting, Feverish?",Roseola
"What disease causes Diarrhea, Low-grade fever, Nausea, Headache, Fatigue, Loss of appetite, Dehydration, Chills, Sweating, General discomfort, Irritability?",Norovirus Infection
"What disease causes Runny nose, Rash, Irritability, Swollen lymph nodes, Cough, Red eyes, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Body aches, Rashes?",Roseola
"What disease causes Fever, Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Bloody stools, Stomach cramps, Headache, Fatigue, Dehydration, Loss of appetite, Rashes?",Shigellosis (Bacillary Dysentery)
"What disease causes Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Headache, Fatigue, Dehydration, Muscle aches, Body aches, Rashes, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Vomiting, Nausea, Headache, Fatigue, Abdominal pain, Loss of appetite, Sweating, Body aches, Fever?",Norovirus Infection
"What disease causes Fever, Abdominal pain or cramps, Diarrhea, Nausea, Fatigue, Dehydration, Loss of appetite, Muscle aches, Rashes?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Diarrhea, Nausea, Loss of appetite, Feverish, Rashes, General discomfort, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes High fever, Rash, Sore throat, Cough, Loss of appetite, Abdominal pain, Body aches, Chills, Feverish?",Roseola
"What disease causes High fever, Fatigue, Sore throat, Red eyes, Loss of appetite, Body aches, Feverish?",Roseola
"What disease causes Vomiting, Stomach cramps, Low-grade fever, Abdominal pain, Dehydration, Rashes, General discomfort, Irritability?",Norovirus Infection
"What disease causes Vomiting, Low-grade fever, Headache, Fatigue, Sweating, Body aches, General discomfort, Fever?",Norovirus Infection
"What disease causes High fever, Irritability, Fatigue, Red eyes, Diarrhea, Loss of appetite, Abdominal pain, Body aches, Feverish?",Roseola
"What disease causes Diarrhea, Stomach cramps, Low-grade fever, Muscle aches, Nausea, Headache, Loss of appetite, Dehydration, Rashes, Fever?",Norovirus Infection
"What disease causes Headache, Swollen, painful salivary glands, Pain while chewing or swallowing, Fever, Muscle aches, Loss of appetite, Testicle pain and tenderness, Headache, Tiredness?",Mumps
"What disease causes Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Bloody stools, Headache, Dehydration, Loss of appetite, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Rash, Irritability, Fatigue, Swollen lymph nodes, Headache, Red eyes, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Rashes, Feverish?",Roseola
"What disease causes Runny nose, Rash, Fatigue, Sore throat, Headache, Cough, Vomiting, Body aches?",Roseola
"What disease causes Diarrhea, Nausea, Stomach cramps, Headache, Dehydration, Body aches, Rashes, General discomfort, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes High fever, Swollen lymph nodes, Headache, Red eyes, Vomiting, Loss of appetite, Abdominal pain, Body aches, Rashes, Chills?",Roseola
"What disease causes Bloody stools, Stomach cramps, Headache, Fatigue, Muscle aches, Body aches, Feverish, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes Irritability, Swollen lymph nodes, Sore throat, Headache, Cough, Diarrhea, Chills, Feverish?",Roseola
"What disease causes Diarrhea, Stomach cramps, Muscle aches, Nausea, Fatigue, Loss of appetite, Dehydration, Rashes, General discomfort?",Norovirus Infection
"What disease causes Fever, Stomach cramps, Fatigue, Dehydration, General discomfort, Joint pain?",Shigellosis (Bacillary Dysentery)
